No,Input,Random Forest | MAE,Random Forest | RMSE,Random Forest | PCC,XGBoost | MAE,XGBoost | RMSE,XGBoost | PCC,LightGBM | MAE,LightGBM | RMSE,LightGBM | PCC,CatBoost | MAE,CatBoost | RMSE,CatBoost | PCC
1,Comb1,63.244492753623184,92.74504778414367,0.7316653008479397,67.51739262221517,95.48585543937855,0.7062590951550313,66.47925674620481,95.20339344996297,0.6933648002602342,64.78759689280966,98.07699801955046,0.6893767697895449
2,Comb1_land,55.94616131801122,86.97205054134191,0.74392097323038,58.628255324438214,89.89497388277768,0.7160516965168879,63.6968005020243,99.34690296058,0.644029221445865,53.274838950054914,85.97886131947632,0.7557771830493767
3,Comb2,67.78779152954816,96.01773534970515,0.7502456896146893,64.31960280471377,100.80164806055264,0.7059586708836408,56.8592147749869,81.25984987042494,0.8245088231100145,60.622573308699835,92.43384781428841,0.7699131020621715
4,Comb2_land,57.475113375430546,89.17663747904362,0.7689698020036645,63.68827957835661,96.57285505005463,0.7314842284316511,61.47303131245582,91.17512662073078,0.7589361942827114,54.74713589677305,87.91419713173082,0.7707392803606673
5,Comb3,63.9148001693457,98.4097221252891,0.7069782040627457,66.0336766242981,98.7397620225188,0.7094742022393565,68.71320696320802,100.78004277872412,0.6977783421408527,67.20407867535927,97.83572403451218,0.7087198691048016
6,Comb3_land,57.425713684933115,88.93716893074016,0.7402667155642341,57.764356991782115,92.492073120685,0.7183355014330749,63.43702532925022,95.27896465847817,0.7025580142810665,59.29820627088183,90.21757472638144,0.7328491531150578
7,CCS_land,57.87994919427345,93.06665123733646,0.7088908637223011,61.71299648053611,95.48552599083582,0.6996138939164449,63.21479216783326,97.55998105838059,0.6845764192508851,62.290486310674225,94.67805274991065,0.7024550763130476
8,PDIR_land,56.32178161442206,88.93673835169014,0.7403464099046096,60.16521291234601,95.86099970594212,0.6935201378688297,63.60093772299052,95.60305950926872,0.7000155272371829,58.984797584950535,91.16515590105739,0.7298587997800559
9,GSMaP_MVK_land,54.50226787848793,98.24114671553262,0.6378285005457557,61.53185385912657,105.94092500927756,0.5797004070237491,63.43716301360995,104.51615943068495,0.5933631912029002,56.69211040481379,98.65917326896486,0.6459853425027933
10,CDR_land,58.508054219343414,95.9500793896192,0.6926018287166363,69.24667364874882,110.58335718084103,0.5910558975022489,66.50210651433098,106.97642720858984,0.621557122052344,60.3507301276436,98.36857074826796,0.6758452823490833
11,CHIRPS_land,56.380986560592554,88.94761052205571,0.751165354115369,61.11756600764261,94.15135012629493,0.7311242725552707,61.477166639089894,94.87402215229689,0.7256488984350911,54.30777432484955,85.65881997148225,0.7823946880121662
12,IMERG_land,55.41146016217061,85.6870190226477,0.7586566690131002,64.15642672403537,97.30073458027752,0.6859447281994336,60.72943069447046,94.0273253871948,0.7091162821609729,57.2383635944004,87.62574210376351,0.7517403460573969
13,GSMaP_Gauge_land,52.13870956968682,85.76109072794168,0.7915406543391115,53.995826543250416,87.78506284033705,0.7803330289621866,57.21016717686077,88.34411158807475,0.7830105333636348,56.38069916242656,90.05792062779672,0.7858549572395385
14,ERA5_land,51.8307446378939,84.9196748618489,0.7701420210211366,59.463694768165475,98.11136263477606,0.687160557656953,57.11320923193356,97.00653599237299,0.7014393323327485,55.72770956644524,87.75755905341255,0.7562289319851416
